"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"YI","111, Inc.","8.65","$705.36M","2018","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/yi",
"PIH","1347 Property Insurance Holdings, Inc.","5.065","$30.45M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","24.911","$17.44M","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","1.94","$60.38M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","19.41","$1.25B","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"BCOW","1895 Bancorp of Wisconsin, Inc.","9.65","$47.06M","2019","Finance","Banks","https://www.nasdaq.com/symbol/bcow",
"FCCY","1st Constitution Bancorp (NJ)","18.8","$162.22M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","47.34","$1.22B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","8.05","$904.76M","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"TWOU","2U, Inc.","61.61","$3.6B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"QFIN","360 Finance, Inc.","20.02","$2.88B","2018","Finance","Finance: Consumer Services","https://www.nasdaq.com/symbol/qfin",
"JOBS","51job, Inc.","93.87","$5.81B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"JFKKU","8i Enterprises Acquisition Corp","10.07","$50.35M","2019","Finance","Business Services","https://www.nasdaq.com/symbol/jfkku",
"EGHT","8x8 Inc","23.7","$2.27B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/eght",
"AAON","AAON, Inc.","50.09","$2.61B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"ABEO","Abeona Therapeutics Inc.","8.17","$392.92M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","3.8","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ABIL","Ability Inc.","1.42","$11.42M","2014","Capital Goods","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","274","$12.35B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"AXAS","Abraxas Petroleum Corporation","1.39","$232.32M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","4.78","$322.95M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","58.44","$2.37B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","3.16","$156.89M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","32.37","$2.86B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
